company_id,company_name,indicator_id,category,indicator_name,raw_value,raw_unit,period,business_scope,geography,source_id,source_title,source_page,source_url,source_table_title,source_text,assurance,scope_mismatch,availability,data_confidence,risk_direction,note,target_value,target_unit,target_year,baseline_value,baseline_year,target_source_id
005930,삼성전자,S01,S,산업재해율(LTIR),0.018,%,2025,consolidated,global,SRC-0012,Samsung Electronics Sustainability Report 2026 (ENG),66,https://images.samsung.com/is/content/samsung/assets/global/ir/docs/Samsung_Electronics_Sustainability_Report_2026_ENG.pdf,LTIR,,unknown,True,available,high,higher_is_worse,"business_scope=consolidated(원문 DX+DS 또는 전사단위)로 스키마 규칙상 scope_mismatch=true 강제 적용 | [목표, 정성] SEC-2025 중대산업재해 Zero + 글로벌 최고수준 LTIR 달성(2030, 수치 없음)",,,,,,
000660,SK하이닉스,S01,S,산업재해율(LTIFR),0.03,건/20만근로시간,2025,consolidated,Korea,SRC-0014,SK hynix Sustainability Report 2026 (ENG),114,https://www.skhynix.com/sustainability/UI-FR-SA1601/,Lost time injuries frequency rate,,unknown,False,available,medium,higher_is_worse,"주의: 삼성 LTIR(%)과 산식·단위 상이(건수 vs %). not_comparable 후보, 용어 확인 필요",,,,,,
005930,삼성전자,S02,S,협력사 ESG 현장감사(전수),395,개사,2023,consolidated,global,SRC-0001,Samsung Electronics Sustainability Report 2024 (ENG),42,https://images.samsung.com/is/content/samsung/assets/global/ir/docs/Samsung_Electronics_Sustainability_Report_2024_ENG.pdf,On-site supplier audit,,unknown,True,available,medium,higher_is_better,"고위험 협력사 전수감사, 자가진단 2,085개사는 note | business_scope=consolidated(원문 DX+DS 또는 전사단위)로 스키마 규칙상 scope_mismatch=true 강제 적용",,,,,,
005930,삼성전자,S02,S,협력사 ESG 현장감사(1차+2차),123,개사,2024,consolidated,global,SRC-0011,Samsung Electronics Sustainability Report 2025 (ENG),48,https://images.samsung.com/is/content/samsung/assets/global/ir/docs/Samsung_Electronics_Sustainability_Report_2025_ENG.pdf,3rd-party supplier audit,,unknown,True,available,medium,higher_is_better,1차 90개사(DX67/DS23)+2차 33개사=123개사 | business_scope=consolidated(원문 DX+DS 또는 전사단위)로 스키마 규칙상 scope_mismatch=true 강제 적용,,,,,,
005930,삼성전자,S02,S,협력사 ESG 현장감사(1차+2차),161,개사,2025,consolidated,global,SRC-0012,Samsung Electronics Sustainability Report 2026 (ENG),47,https://images.samsung.com/is/content/samsung/assets/global/ir/docs/Samsung_Electronics_Sustainability_Report_2026_ENG.pdf,3rd-party supplier audit,,unknown,True,available,medium,higher_is_better,"1차 122개사+2차 39개사=161개사, DX 2차 현장감사 약400개사는 별도 | business_scope=consolidated(원문 DX+DS 또는 전사단위)로 스키마 규칙상 scope_mismatch=true 강제 적용",,,,,,
000660,SK하이닉스,S02,S,협력사 ESG 현장평가 이행률,100,%,2024,consolidated,Korea,SRC-0013,SK hynix Sustainability Report 2025 (ENG),45,https://www.skhynix.com/sustainability/UI-FR-SA1601/,Critical supplier ESG on-site assessment,,unknown,False,available,medium,higher_is_better,"국내 50개사 대상, 2023년 94%→2024년 100%. RMAP부분은 S05로 분리 | 해외법인 별도: 2024년 38개사(2023년 12개사, SKH-2025 p.46)",,,,,,
000660,SK하이닉스,S03,S,자발적 이직률(전체),3.5,%,2021,consolidated,Korea,SRC-0013,SK hynix Sustainability Report 2025 (ENG),77,https://www.skhynix.com/sustainability/UI-FR-SA1601/,Voluntary turnover rate,,unknown,False,available,high,higher_is_worse,Voluntary turnover rate 표 원문 값 (source_page 77 참고),,,,,,
000660,SK하이닉스,S03,S,자발적 이직률(전체),2.0,%,2022,consolidated,Korea,SRC-0013,SK hynix Sustainability Report 2025 (ENG),77,https://www.skhynix.com/sustainability/UI-FR-SA1601/,Voluntary turnover rate,,unknown,False,available,high,higher_is_worse,Voluntary turnover rate 표 원문 값 (source_page 77 참고),,,,,,
000660,SK하이닉스,S03,S,자발적 이직률(전체),1.5,%,2023,consolidated,Korea,SRC-0013,SK hynix Sustainability Report 2025 (ENG),77,https://www.skhynix.com/sustainability/UI-FR-SA1601/,Voluntary turnover rate,,unknown,False,available,high,higher_is_worse,Voluntary turnover rate 표 원문 값 (source_page 77 참고),,,,,,
000660,SK하이닉스,S03,S,자발적 이직률(전체),0.9,%,2024,consolidated,Korea,SRC-0013,SK hynix Sustainability Report 2025 (ENG),77,https://www.skhynix.com/sustainability/UI-FR-SA1601/,Voluntary turnover rate,,unknown,False,available,high,higher_is_worse,Voluntary turnover rate 표 원문 값 (source_page 77 참고),,,,,,
